,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",44754,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",44754,7,8.751609179796588e-05,0.6,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",44754,7,0.00015451948060226625,0.65,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",44754,7,0.0006169162319579459,0.94,0.999999997667024
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",44754,7,1.2924470906665669e-05,0.96,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",44754,7,0.0009387881320084101,1.0,0.999047038494333
6,6,"('Other', 'Unknown')","('Response', 'Fear')",44754,7,0.0002215072781807174,0.13,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",44754,7,0.000157206089087021,0.24,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",44754,7,0.0001418762942477288,0.37,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",44754,7,4.35833755656566e-05,0.98,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",44754,7,0.00014788454719283343,0.78,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",44754,7,0.0019097388772363404,0.06,0.006745914074057557
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",44754,7,0.0003752044390705567,0.95,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",44754,7,0.0012513865566448111,0.09,0.8421752534852105
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",44754,7,0.0024114922703054147,0.51,1.9498948066187793e-06
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",44754,7,0.00041649652761571076,0.35,0.9999999999999998
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",44754,7,0.002497607771175226,0.0,3.611807067871453e-07
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",44754,7,0.0008534806558312885,0.6,0.9999151146401224
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",44754,7,0.0009129110842278699,0.14,0.9995146583480712
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",44754,7,0.0008831843791631496,0.35,0.9997898086339067
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",44754,7,0.0006225175819084015,0.28,0.9999999967408759
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",44754,7,0.001304220767152799,0.37,0.7532813217655364
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",44754,7,0.000729097219630683,0.28,0.999999221056653
23,23,"('Response', 'Anger')","('Other', 'Unknown')",44754,7,0.0002953489141055495,0.19,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",44754,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",44754,7,0.0004094800976612625,0.03,0.9999999999999999
26,26,"('Response', 'Anger')","('Response', 'Arousal')",44754,7,0.0007898866114840206,0.42,0.9999906268328214
27,27,"('Response', 'Anger')","('Response', 'Disgust')",44754,7,0.00010276188729952139,0.18,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",44754,7,0.0017589806206704426,0.02,0.03962711407420527
29,29,"('Response', 'Anger')","('Response', 'Fear')",44754,7,0.00029512569388082474,0.02,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",44754,7,0.0001756750453458909,0.21,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",44754,7,0.00017885360777500364,0.19,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",44754,7,0.00012791491671794734,0.18,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",44754,7,0.0003070407608987804,0.11,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",44754,7,0.002243649626901739,0.0,4.180572205969568e-05
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",44754,7,0.0004664013519602448,0.8,0.9999999999999719
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",44754,7,0.0016305042370719836,0.0,0.13288370494807145
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",44754,7,0.002055119845176588,0.93,0.0008846725210369666
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",44754,7,0.00027129480621452347,0.87,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",44754,7,0.001854589850414808,0.3,0.013441568561017081
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",44754,7,0.0008568386673876146,0.52,0.9999056036663756
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",44754,7,0.0007400352833539483,0.39,0.9999987437181328
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",44754,7,0.0007952860211646302,0.5,0.9999885284211815
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",44754,7,0.000626234671642643,0.13,0.9999999959429077
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",44754,7,0.0012989253173416987,0.24,0.7631238362108026
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",44754,7,0.0007164552229520071,0.3,0.9999995595659612
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",44754,7,0.00046962974622787506,0.09,0.999999999999962
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",44754,7,0.0003541128396772167,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",44754,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",44754,7,0.0017529186526346041,0.0,0.042224508931527294
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",44754,7,0.00024701139643391624,0.01,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",44754,7,0.0014165520223466206,0.84,0.5140495321240816
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",44754,7,0.00044218637916956154,0.0,0.9999999999999973
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",44754,7,0.00023972296139914095,0.16,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",44754,7,0.0003303740929614215,0.02,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",44754,7,0.00016568070885331966,0.2,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",44754,7,0.00028720522279292865,0.37,1.0
