,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",44754,1,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",44754,1,3.864249980434109e-06,0.97,0.8411907937718613
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",44754,1,1.825109332678771e-05,0.66,0.4418471904457896
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",44754,1,2.967678259204531e-05,0.42,0.2649736077526741
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",44754,1,3.2000495019160083e-06,0.88,0.8665704965134183
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",44754,1,6.033827729158515e-05,0.11,0.06718408273109966
6,6,"('Other', 'Unknown')","('Response', 'Fear')",44754,1,3.362794585973495e-05,0.28,0.22202807057743856
7,7,"('Other', 'Unknown')","('Response', 'Joy')",44754,1,1.3157946789043734e-05,0.74,0.5549609141613969
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",44754,1,3.193360189890255e-05,0.27,0.2395185323526986
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",44754,1,6.24702682749286e-06,0.68,0.7561063851456278
10,10,"('Other', 'Unknown')","('Response', 'Trust')",44754,1,2.665368511164883e-05,0.56,0.3033608160740383
11,11,"('Other', 'Unknown')","('Response', 'Valence')",44754,1,4.3707199853202984e-05,0.25,0.14141897863672104
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",44754,1,6.150913200085917e-05,0.21,0.06375432944196402
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",44754,1,1.8833717235500613e-05,0.53,0.43047529331264767
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",44754,1,3.2024839904136146e-05,0.33,0.23854253035075634
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",44754,1,7.198084055477192e-05,0.11,0.039900813878071206
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",44754,1,4.922124668458748e-06,0.86,0.8022942482797617
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",44754,1,5.234388574057732e-06,0.84,0.7911603672677305
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",44754,1,7.801242063534688e-06,0.64,0.7053021502504255
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",44754,1,5.558340961696329e-06,0.81,0.7797729955060976
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",44754,1,1.3881328395695297e-05,0.66,0.5372825872245612
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",44754,1,3.248686654657503e-05,0.31,0.23366081153396112
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",44754,1,9.620524692602621e-05,0.01,0.013494495523573513
23,23,"('Response', 'Anger')","('Other', 'Unknown')",44754,1,1.1189800760082599e-05,0.83,0.6060594754534865
24,24,"('Response', 'Anger')","('Response', 'Anger')",44754,1,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",44754,1,0.000372327869971201,0.0,5.8001952352171315e-08
26,26,"('Response', 'Anger')","('Response', 'Arousal')",44754,1,4.240340891248987e-05,0.33,0.14991605737043356
27,27,"('Response', 'Anger')","('Response', 'Disgust')",44754,1,0.00013031752790930453,0.01,0.002931912535149017
28,28,"('Response', 'Anger')","('Response', 'Dominance')",44754,1,0.0005602043326205084,0.0,1.293831708437665e-11
29,29,"('Response', 'Anger')","('Response', 'Fear')",44754,1,0.00016033970960929733,0.0,0.0007649630513868466
30,30,"('Response', 'Anger')","('Response', 'Joy')",44754,1,0.000256071562017088,0.0,1.0543820387121094e-05
31,31,"('Response', 'Anger')","('Response', 'Sadness')",44754,1,3.4952918011867824e-05,0.25,0.20924531909374633
32,32,"('Response', 'Anger')","('Response', 'Surprise')",44754,1,0.0003167552168054575,0.0,6.975119312135902e-07
33,33,"('Response', 'Anger')","('Response', 'Trust')",44754,1,0.0002087680283875457,0.0,8.757670023717967e-05
34,34,"('Response', 'Anger')","('Response', 'Valence')",44754,1,0.0006889332092729129,0.0,4.0745185003743245e-14
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",44754,1,4.9006226120086054e-06,0.8,0.8030666527940593
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",44754,1,7.509111080043612e-05,0.08,0.034716073651746115
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",44754,1,3.3811561225516626e-06,0.92,0.8595752733265931
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",44754,1,6.879785088229423e-06,0.85,0.7349954119354103
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",44754,1,5.979881966243213e-05,0.15,0.0688258019260859
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",44754,1,1.669094169810082e-05,0.55,0.47380012955700157
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",44754,1,5.041978255590157e-05,0.18,0.1047229980357951
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",44754,1,2.0114157871039057e-05,0.42,0.4065009929960234
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",44754,1,7.01962455142009e-06,0.83,0.7304100008160497
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",44754,1,2.1225828590487636e-05,0.53,0.3867721546873806
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",44754,1,2.5373680167776437e-05,0.46,0.32124593114529465
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",44754,1,3.076687245610733e-05,0.43,0.25235717268830227
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",44754,1,0.00037029730404163774,0.0,6.351973147467049e-08
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",44754,1,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",44754,1,0.0007766766235587527,0.0,7.771561172376096e-16
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",44754,1,0.00022295093198965418,0.0,4.642265055487815e-05
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",44754,1,0.0003965744014088075,0.0,1.959690509867329e-08
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",44754,1,0.00031811751399319206,0.0,6.562571658319527e-07
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",44754,1,8.402333931730482e-05,0.05,0.023276837665252126
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",44754,1,0.00020183242415739626,0.0,0.00011945074129426914
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",44754,1,0.00020672474783098963,0.0,9.596254108446001e-05
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",44754,1,0.00012685801174312398,0.0,0.0034228676005579883
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",44754,1,0.00016087391353980147,0.01,0.0007468917826174426
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",44754,1,3.9401687620915087e-05,0.28,0.17147055362480845
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",44754,1,1.4770634133074136e-06,0.94,0.9360344300536214
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",44754,1,7.814149589638253e-06,0.81,0.7048948497495977
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",44754,1,5.51225146838904e-05,0.17,0.08484765712476738
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",44754,1,2.297768036877452e-05,0.48,0.35760719002759234
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",44754,1,1.1999881624673734e-05,0.73,0.5844811769020126
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",44754,1,9.061608582457436e-05,0.04,0.017329557854041666
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",44754,1,7.563369323237584e-07,0.98,0.9667180994801775
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",44754,1,3.6679536744724064e-05,0.27,0.19368555064148818
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",44754,1,0.0001358282540184387,0.01,0.002291103150985574
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",44754,1,3.0653343776608833e-06,0.89,0.871810749163578
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",44754,1,7.195776599854422e-05,0.09,0.039942038959552284
70,70,"('Response', 'Arousal')","('Response', 'Anger')",44754,1,0.0008142378025860653,0.0,1.1102230246251565e-16
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",44754,1,0.0011902963233558364,0.0,0.0
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",44754,1,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",44754,1,0.0008149480698527671,0.0,1.1102230246251565e-16
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",44754,1,0.0014614462396626972,0.0,0.0
75,75,"('Response', 'Arousal')","('Response', 'Fear')",44754,1,0.0011315986229433457,0.0,0.0
76,76,"('Response', 'Arousal')","('Response', 'Joy')",44754,1,0.000943571877416253,0.0,0.0
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",44754,1,0.0014340486330546242,0.0,0.0
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",44754,1,0.0009702597066718922,0.0,0.0
79,79,"('Response', 'Arousal')","('Response', 'Trust')",44754,1,0.001304241911213678,0.0,0.0
80,80,"('Response', 'Arousal')","('Response', 'Valence')",44754,1,0.0007908413149435167,0.0,4.440892098500626e-16
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",44754,1,5.485543987089487e-06,0.87,0.7823175473711113
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",44754,1,2.8422418045058544e-05,0.47,0.28027375002448796
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",44754,1,6.359895151344435e-05,0.13,0.058061999812697884
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",44754,1,1.2969037476415306e-06,0.94,0.9436118875763801
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",44754,1,8.252006837671146e-06,0.75,0.691216588643778
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",44754,1,1.0047459817149847e-06,0.98,0.9560305628630887
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",44754,1,1.2189633797717178e-05,0.72,0.5795387900455564
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",44754,1,1.027912985447556e-05,0.73,0.6312698215708066
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",44754,1,1.4771644162298919e-05,0.71,0.5162958158707285
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",44754,1,0.00016523495533161449,0.0,0.0006144641591052658
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",44754,1,1.1937007377235176e-05,0.66,0.5861281125775896
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",44754,1,1.8081055902122736e-05,0.66,0.44522233392604893
93,93,"('Response', 'Disgust')","('Response', 'Anger')",44754,1,0.00012863468165045928,0.02,0.0031612495323787293
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",44754,1,0.00018960385432956848,0.0,0.0002064729198690829
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",44754,1,0.00019786689580192894,0.0,0.00014264704610300605
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",44754,1,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",44754,1,0.0006788720780584968,0.0,6.38378239159465e-14
98,98,"('Response', 'Disgust')","('Response', 'Fear')",44754,1,0.00012537963392475354,0.02,0.0036569904288404897
99,99,"('Response', 'Disgust')","('Response', 'Joy')",44754,1,0.00010401233252678498,0.01,0.009515208006480314
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",44754,1,8.660906333045132e-06,0.5,0.6786827165474412
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",44754,1,0.0001644272821890731,0.0,0.0006370807401427925
102,102,"('Response', 'Disgust')","('Response', 'Trust')",44754,1,0.00016143654025930508,0.0,0.0007283204076274918
103,103,"('Response', 'Disgust')","('Response', 'Valence')",44754,1,0.0005484815892315918,0.0,2.1863622023943208e-11
104,104,"('Response', 'Disgust')","('Stimulus', 'Anger')",44754,1,1.854182823379094e-05,0.63,0.43613544118791125
105,105,"('Response', 'Disgust')","('Stimulus', 'Anticipation')",44754,1,2.7673116526097847e-05,0.45,0.28983166678586514
106,106,"('Response', 'Disgust')","('Stimulus', 'Arousal')",44754,1,3.1096017276383485e-05,0.4,0.24866714069454043
107,107,"('Response', 'Disgust')","('Stimulus', 'Disgust')",44754,1,2.9577920529218415e-06,0.95,0.8760167495440967
108,108,"('Response', 'Disgust')","('Stimulus', 'Dominance')",44754,1,1.682310122965577e-05,0.51,0.47100609272346095
109,109,"('Response', 'Disgust')","('Stimulus', 'Fear')",44754,1,6.530474383100104e-06,0.81,0.7465756555887109
110,110,"('Response', 'Disgust')","('Stimulus', 'Joy')",44754,1,2.643112977665805e-05,0.45,0.3063973926147848
111,111,"('Response', 'Disgust')","('Stimulus', 'Sadness')",44754,1,1.910641342064735e-05,0.55,0.42525371155224223
112,112,"('Response', 'Disgust')","('Stimulus', 'Surprise')",44754,1,3.428080189499898e-06,0.9,0.857772065493319
113,113,"('Response', 'Disgust')","('Stimulus', 'Trust')",44754,1,1.4625693175458676e-06,0.96,0.9366417897432433
114,114,"('Response', 'Disgust')","('Stimulus', 'Valence')",44754,1,8.808050383748093e-05,0.11,0.019411942913281743
115,115,"('Response', 'Dominance')","('Other', 'Unknown')",44754,1,0.0001395479453682651,0.0,0.001939763541683015
116,116,"('Response', 'Dominance')","('Response', 'Anger')",44754,1,0.0011925088260746459,0.0,0.0
117,117,"('Response', 'Dominance')","('Response', 'Anticipation')",44754,1,0.002537606384881026,0.0,0.0
118,118,"('Response', 'Dominance')","('Response', 'Arousal')",44754,1,0.003459381385566086,0.0,0.0
119,119,"('Response', 'Dominance')","('Response', 'Disgust')",44754,1,0.0012140113626769391,0.0,0.0
120,120,"('Response', 'Dominance')","('Response', 'Dominance')",44754,1,0.0,1.0,1.0
121,121,"('Response', 'Dominance')","('Response', 'Fear')",44754,1,0.0021213750666272263,0.0,0.0
122,122,"('Response', 'Dominance')","('Response', 'Joy')",44754,1,0.0015562809281393852,0.0,0.0
123,123,"('Response', 'Dominance')","('Response', 'Sadness')",44754,1,0.0019358261462374508,0.0,0.0
124,124,"('Response', 'Dominance')","('Response', 'Surprise')",44754,1,0.001411323113660519,0.0,0.0
125,125,"('Response', 'Dominance')","('Response', 'Trust')",44754,1,0.002042719741930693,0.0,0.0
126,126,"('Response', 'Dominance')","('Response', 'Valence')",44754,1,0.0007231385879674653,0.0,8.770761894538737e-15
127,127,"('Response', 'Dominance')","('Stimulus', 'Anger')",44754,1,1.370302569318068e-05,0.63,0.5415870280430732
