,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",24086,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",24086,7,2.1453215502668414e-05,0.99,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",24086,7,5.364723907911857e-05,0.88,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",24086,7,0.00032951372732268773,0.8,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",24086,7,1.1371212043307619e-05,0.89,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",24086,7,0.0006097964397500082,0.91,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",24086,7,2.1696297797629675e-05,0.97,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",24086,7,0.00011590857978803925,0.42,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",24086,7,2.1579760884014826e-05,0.97,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",24086,7,1.9709516245502656e-05,0.86,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",24086,7,0.0001605496021255197,0.41,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",24086,7,0.0008825891171794076,0.7,0.9999999999999382
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",24086,7,0.0018247171470566568,0.9,0.9973538772714696
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",24086,7,0.0022558792701312534,0.47,0.8915640752280642
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",24086,7,0.0053120460518387615,0.11,1.4993839503318895e-10
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",24086,7,0.0008400228692316636,0.76,0.9999999999999929
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",24086,7,0.002116648258789373,0.94,0.9566112238819721
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",24086,7,0.0029266285188180785,0.18,0.20486322054226125
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",24086,7,0.0022266548255331243,0.11,0.9088125279343461
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",24086,7,0.0019522509759692943,0.4,0.9894198828291826
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",24086,7,0.0012967630565514472,0.53,0.9999998168097718
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",24086,7,0.002737029974542446,0.46,0.3907457930920084
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",24086,7,0.0012573306442699003,0.58,0.9999999361062752
23,23,"('Response', 'Anger')","('Other', 'Unknown')",24086,7,0.00011391354547133456,0.86,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",24086,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",24086,7,0.00030385526065953406,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",24086,7,0.000505072435822828,0.02,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",24086,7,8.748525292426311e-05,0.06,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",24086,7,0.0008293557923852562,0.0,0.999999999999996
29,29,"('Response', 'Anger')","('Response', 'Fear')",24086,7,0.00027419535338832145,0.02,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",24086,7,0.00019616159887147556,0.06,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",24086,7,0.0001069920587427169,0.09,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",24086,7,0.00011305754062361444,0.04,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",24086,7,0.000579028741753534,0.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",24086,7,0.0012089553802462098,0.0,0.9999999838899631
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",24086,7,0.0010236747609938665,0.39,0.9999999999703806
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",24086,7,0.001140951616139874,0.35,0.9999999980482208
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",24086,7,0.0026584846810527524,0.91,0.4826961445770901
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",24086,7,0.0005061377751498232,0.32,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",24086,7,0.0016614455587176937,0.08,0.9997123476790236
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",24086,7,0.0020339580449740646,0.0,0.9776022810010646
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",24086,7,0.0004350666899361567,0.99,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",24086,7,0.0011623299326543799,0.11,0.9999999961217596
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",24086,7,0.0008838989057001553,0.04,0.9999999999999342
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",24086,7,0.0015238351883924348,0.11,0.9999721150913137
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",24086,7,0.0008031761607161048,0.15,0.999999999999999
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",24086,7,4.184353966534986e-05,0.99,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",24086,7,0.00044426351239315164,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",24086,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",24086,7,0.0008601143323083729,0.0,0.9999999999999799
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",24086,7,0.0003697980921716937,0.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",24086,7,0.0007521627910537378,0.0,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",24086,7,0.0005142264005785272,0.0,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",24086,7,0.0003860065521251504,0.0,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",24086,7,0.00032064963004738454,0.0,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",24086,7,0.00037275064142672926,0.0,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",24086,7,0.000596082634011991,0.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",24086,7,0.0011745877726272056,0.0,0.9999999943064076
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",24086,7,0.0011132075686305532,0.28,0.9999999992256653
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",24086,7,0.0008481387840198501,0.75,0.9999999999999891
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",24086,7,0.0027913203710619966,0.71,0.33123382256136646
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",24086,7,0.0004708606785042259,0.31,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",24086,7,0.001260962647073059,0.56,0.999999929417326
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",24086,7,0.001121279770648266,0.64,0.9999999989826318
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",24086,7,0.0008336166115859229,0.35,0.9999999999999949
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",24086,7,0.0007627734481243193,0.64,0.9999999999999999
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",24086,7,0.000901475087156472,0.09,0.9999999999998465
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",24086,7,0.001212315853545335,0.6,0.9999999822152155
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",24086,7,0.0005599408740171481,0.61,1.0
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",24086,7,0.0003360570330898325,0.94,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",24086,7,0.0017615607769085584,0.0,0.9988044628333169
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",24086,7,0.0015113408799021773,0.0,0.9999779740731439
